id,time,format
313,2019-09-16 18:30:00,
314,2019-10-21 18:30:00,
315,2019-11-18 18:30:00,
316,2019-12-16 18:30:00,
317,2020-01-20 18:30:00,
318,2020-02-17 18:30:00,
319,2020-03-16 18:30:00,
320,2020-04-20 18:30:00,
321,2020-05-18 18:30:00,
322,2020-06-15 18:30:00,
323,2020-07-20 18:30:00,
324,2020-08-17 18:30:00,
325,2020-09-21 18:30:00,
326,2020-10-19 18:30:00,
327,2020-11-16 18:30:00,
328,2020-12-21 18:30:00,
329,2021-01-18 18:30:00,
330,2021-02-15 18:30:00,
331,2021-03-15 18:30:00,
332,2021-04-19 18:30:00,
333,2021-05-17 18:30:00,
334,2021-06-21 18:30:00,
335,2021-07-19 18:30:00,
336,2021-08-16 18:30:00,
337,2021-09-20 18:30:00,
338,2021-10-18 18:30:00,
339,2021-11-15 18:30:00,
340,2021-12-20 18:30:00,
341,2022-01-17 18:30:00,
342,2022-02-21 18:30:00,
343,2022-03-21 18:30:00,
344,2022-04-18 18:30:00,
345,2022-05-16 18:30:00,
346,2022-06-20 18:30:00,
347,2022-07-18 18:30:00,
348,2022-08-15 18:30:00,
349,2022-09-19 18:30:00,
350,2022-10-17 18:30:00,
351,2022-11-21 18:30:00,
352,2022-12-19 18:30:00,
354,2023-02-20 18:30:00,
355,2023-03-20 18:30:00,
356,2023-04-17 18:30:00,
357,2023-05-15 18:30:00,
359,2023-07-17 18:30:00,
353,2023-01-23 18:30:00,
358,2023-06-26 18:30:00,
360,2023-08-21 18:30:00,
361,2023-09-18 18:30:00,
362,2023-10-16 18:30:00,
363,2023-11-20 18:30:00,
364,2024-01-22 18:30:00,
365,2024-02-19 18:30:00,
366,2024-03-18 18:30:00,
367,2024-04-15 18:30:00,
368,2024-05-20 18:30:00,
369,2024-06-17 18:30:00,
370,2024-07-15 18:30:00,
403,2024-08-19 18:30:00,
436,2024-09-16 18:30:00,
469,2024-10-21 18:30:00,
502,2024-11-18 18:30:00,
634,2025-04-21 18:30:00,
535,2025-01-27 18:30:00,
568,2025-02-17 18:30:00,
601,2025-03-17 18:30:00,
667,2025-05-19 18:30:00,
700,2025-06-16 18:30:00,
